afterBar,intent,status,filledQty,avgFillPrice,orderRef,text,time
40,1,working,0,none,ORD-1,,1748880000000
40,1,filled,542,110.07,ORD-1,,1748880000000
63,3,working,0,none,ORD-2,,1748962800000
63,3,filled,542,108.38000000000001,ORD-2,,1748962800000
98,4,working,0,none,ORD-3,,1749088800000
98,4,filled,541,100.6,ORD-3,,1749088800000
101,6,working,0,none,ORD-4,,1749099600000
101,6,filled,541,99.61,ORD-4,,1749099600000
129,7,working,0,none,ORD-5,,1749200400000
129,7,filled,543,98.11,ORD-5,,1749200400000
198,9,working,0,none,ORD-6,,1749448800000
198,9,filled,543,116.36,ORD-6,,1749448800000
265,10,working,0,none,ORD-7,,1749690000000
265,10,filled,543,105.57,ORD-7,,1749690000000
334,12,working,0,none,ORD-8,,1749938400000
334,12,filled,543,122.39,ORD-8,,1749938400000
355,13,working,0,none,ORD-9,,1750014000000
355,13,filled,543,123.39999999999999,ORD-9,,1750014000000
366,15,working,0,none,ORD-10,,1750053600000
366,15,filled,543,120.27,ORD-10,,1750053600000
